2016-12-18 20:41:51 INFO  Consumer:93 - {id=781512097167384576, text=RT @Slate: President Obama answers Slate’s questions about his administration’s new rule extending paid sick leave: https://t.co/8AdEx431QN…, name=BarackObama, retweet_count=232, date=Thu Sep 29 20:42:58 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:75 - User: BarackObama; Gathered 20 tweets
2016-12-18 20:41:52 INFO  Consumer:93 - {id=781189166126264321, text=The @OFA Truth Team makes it easy to stay informed. Join today: https://t.co/Q0axQYyJY1, name=BarackObama, retweet_count=318, date=Wed Sep 28 23:19:45 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=781150531943211010, text=This is no accident—we're making a comeback because together, we've fought hard to support American families. https://t.co/LTk7SiTexP, name=BarackObama, retweet_count=3151, date=Wed Sep 28 20:46:14 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780875664953978881, text=We're better off than we were eight years ago. https://t.co/OwrTM3V78t, name=BarackObama, retweet_count=2590, date=Wed Sep 28 02:34:01 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780855089946726400, text=Household incomes are up, and the poverty rate is down across all demographics. https://t.co/cEIdPJuuvR, name=BarackObama, retweet_count=1028, date=Wed Sep 28 01:12:15 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780813534376538112, text=As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their… https://t.co/DkmDKpMhOw, name=BarackObama, retweet_count=2836, date=Tue Sep 27 22:27:08 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780791269060595712, text=Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/AGrUjJTnST #DoYourJob, name=BarackObama, retweet_count=822, date=Tue Sep 27 20:58:39 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780511904485605376, text=Important, tough conversations require solid facts. Get them from the @OFA Truth Team: https://t.co/5YH9zVeayn https://t.co/dD1EPgaA9W, name=BarackObama, retweet_count=951, date=Tue Sep 27 02:28:33 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780481839177748480, text=These are high praises from the American Bar Association—and yet, Senate leaders refuse to even consider Judge Garl… https://t.co/ryPFLZDAhY, name=BarackObama, retweet_count=2350, date=Tue Sep 27 00:29:05 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780458668122791936, text=Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: https://t.co/yhy8al1FK7 #DoYourJob, name=BarackObama, retweet_count=730, date=Mon Sep 26 22:57:01 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=780435649971167232, text=The American people are waiting for Senate leaders to do their jobs. https://t.co/LNqAQpxMle, name=BarackObama, retweet_count=1427, date=Mon Sep 26 21:25:33 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=779428314012200960, text=Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/peV6aCYswa #DoYourJob, name=BarackObama, retweet_count=770, date=Sat Sep 24 02:42:45 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=779411464830320640, text=Senate leaders need to work for the good of the American people, not seek out political points. https://t.co/Tdx3xk6gYi, name=BarackObama, retweet_count=2120, date=Sat Sep 24 01:35:48 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=779395875239895042, text=Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. https://t.co/J28Crn3WAP, name=BarackObama, retweet_count=430, date=Sat Sep 24 00:33:51 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=779380553334140932, text=Here are 16 broken records we shouldn't be proud of. https://t.co/x98dGgEloW, name=BarackObama, retweet_count=4385, date=Fri Sep 23 23:32:58 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=779363981177843712, text=Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: https://t.co/GVTL4HrTXw, name=BarackObama, retweet_count=396, date=Fri Sep 23 22:27:07 IST 2016}
2016-12-18 20:41:52 INFO  Consumer:93 - {id=779348972670517248, text=Another record broken: 16 months in a row of undeniable, record-breaking heat.
https://t.co/qMAH7nFf5I #ActOnClimate, name=BarackObama, retweet_count=1426, date=Fri Sep 23 21:27:29 IST 2016}
